Unnamed: 0,PRODUCTO,OT REFERENCIA,CODIGO,PESO,MATERIA PRIMA,PROCESO FINAL,PESO ARMADO ,FAMILIA,MAQUINA,ETAPA,STD,N° ETAPA
Perno Talón Aguja DJKZ  1x260,Perno Talón Aguja DJKZ  1x260,34559.0,2821032260-6,1.25,,,1.4868000000000001,OTROS PRODUCTOS NG C,,,,
Pletina 32x6x180 p/Elemento Montaje,Pletina 32x6x180 p/Elemento Montaje,34583.0,9821800020-7,0.24,,,0.24,OTROS PRODUCTOS GV F,,,,
Pletina Abrazadera Poste Tubular,Pletina Abrazadera Poste Tubular,34879.0,7004200010-6,0.485,,,0.485,OTROS PRODUCTOS GV F,,,,
Pletina Corta p/Elemento Montaje 32x6x172,Pletina Corta p/Elemento Montaje 32x6x172,34714.0,9821800050-9,0.265,,,0.265,OTROS PRODUCTOS GV F,,,,
Pletina Curva p/Cruceta 50x5x300,Pletina Curva p/Cruceta 50x5x300,35795.0,9822900105-1,0.83,,,0.83,OTROS PRODUCTOS GV F,,,,
Pletina Curva 38x5x100mm,Pletina Curva 38x5x100mm,36866.0,9822905215-2,0.16,,,0.16,OTROS PRODUCTOS GV F,,,,
Pletina c/Ova p/Sop Secc Fusible 60x6x360mm,Pletina c/Ova p/Sop Secc Fusible 60x6x360mm,36123.0,6000100062-7,1.017,,,1.017,OTROS PRODUCTOS GV F,,,,
Pletina Elemento Montaje Cruc.Madera ( L ),Pletina Elemento Montaje Cruc.Madera ( L ),34584.0,9821800010-K,0.72,,,0.72,OTROS PRODUCTOS GV F,,,,
Pletina Elemento Montaje Cruc.Metálica( Z ),Pletina Elemento Montaje Cruc.Metálica( Z ),34587.0,9821800030-4,0.693,,,0.693,OTROS PRODUCTOS GV F,,,,
Pletina L p/Elemento Montaje 38x6x205x86,Pletina L p/Elemento Montaje 38x6x205x86,34713.0,9821800040-1,0.8512,,,0.8512,OTROS PRODUCTOS GV F,,,,
Pletina p/Ext. Metalica 1.60Mts  50x6x175,Pletina p/Ext. Metalica 1.60Mts  50x6x175,35333.0,9822900130-2,0.412,,,0.412,OTROS PRODUCTOS GV F,,,,
Pletina p/Ext. Metalica 178x182x5x200,Pletina p/Ext. Metalica 178x182x5x200,35339.0,9822900120-5,2.7,,,2.7,OTROS PRODUCTOS GV F,,,,
Pletina p/Ext. Metalica 50x5x197mm,Pletina p/Ext. Metalica 50x5x197mm,38252.0,9822900060-8,0.38,,,0.38,OTROS PRODUCTOS GV F,,,,
